Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
_22:303581	  346.0	   88.7	    3.9	  139.2	  34.85	  36.42	  48.67	  -0.62	   0.38	--------	-1	0.00	*
_17:216837	  275.0	   53.2	    5.2	   95.3	  34.82	  36.38	  50.16	  -0.69	   0.14	--------	-1	0.00	*
_14:524182	  255.0	   44.4	    5.7	   96.5	  34.79	  36.34	  40.39	  -0.85	   0.40	--------	-1	0.00	*
_7:844968	  301.0	   66.5	    4.5	   84.0	  34.56	  36.10	  74.26	  -0.83	   0.00	--------	-1	0.00	*
_6:390655	  292.0	   62.1	    4.7	  101.2	  34.41	  35.94	  53.17	  -0.76	   0.07	--------	-1	0.00	*
_13:857543	  337.0	   62.1	    5.4	  155.8	  34.37	  45.93	  35.89	  -0.71	   0.55	--------	-1	0.00	*
_18:517674	  384.0	  110.9	    3.5	  127.8	  34.30	  35.81	  73.93	  -0.74	   0.00	--------	-1	0.00	*
_27:33556	  416.0	  128.6	    3.2	  111.4	  34.27	  35.77	 107.50	  -0.64	   0.72	--------	-1	0.00	*
_18:311501	  298.0	   66.5	    4.5	  107.6	  33.97	  35.46	  50.80	  -0.66	   0.00	--------	-1	0.00	*
_15:679003	  277.0	   57.7	    4.8	  107.5	  33.45	  34.94	  41.87	  -0.66	   0.41	--------	-1	0.00	*
_3:714636	  277.0	   44.4	    6.2	  119.0	  33.14	  41.48	  34.62	  -0.94	   0.00	--------	-1	0.00	*
_1:665429	  302.0	   71.0	    4.3	   92.5	  33.13	  34.60	  65.86	  -0.83	   0.33	--------	-1	0.00	*
_4:308475	  285.0	   62.1	    4.6	  123.8	  32.97	  34.43	  34.83	  -0.73	   0.58	--------	-1	0.00	*
_6:30943	  285.0	   62.1	    4.6	  118.1	  32.97	  34.43	  38.19	  -0.67	   0.32	--------	-1	0.00	*
_14:183956	  230.0	   35.5	    6.5	   90.4	  32.76	  35.35	  34.21	  -0.91	   0.00	--------	-1	0.00	*
_3:822671	  333.0	   71.0	    4.7	  156.6	  32.73	  41.23	  34.16	  -0.75	   0.00	--------	-1	0.00	*
_12:872262	  349.0	   97.6	    3.6	   98.6	  32.23	  33.66	  84.52	  -0.62	   0.34	--------	-1	0.00	*
_10:575039	  297.0	   71.0	    4.2	   95.4	  32.13	  33.56	  60.59	  -0.93	   0.40	--------	-1	0.00	*
_7:645290	  346.0	   97.6	    3.5	   96.5	  31.66	  33.08	  85.20	  -0.85	   0.09	--------	-1	0.00	*
_14:662991	  294.0	   71.0	    4.1	  105.6	  31.52	  32.93	  50.53	  -0.63	   0.69	--------	-1	0.00	*
_6:155580	  285.0	   66.5	    4.3	  118.7	  31.31	  32.71	  37.80	  -0.71	   0.00	--------	-1	0.00	*
_10:743496	  315.6	   82.0	    3.8	   95.4	  31.29	  32.68	  70.24	  -0.78	   0.00	--------	-1	0.00	*
_2:920921	  327.0	   88.7	    3.7	   91.7	  31.24	  32.62	  80.05	  -0.74	   0.33	--------	-1	0.00	*
_12:527671	  336.0	   93.1	    3.6	  120.6	  31.19	  32.57	  57.63	  -1.03	   0.00	--------	-1	0.00	*
_6:10436	  247.0	   48.8	    5.1	  101.2	  31.15	  32.53	  34.01	  -1.29	   0.00	--------	-1	0.00	*
_27:302137	  319.0	   84.3	    3.8	   99.4	  31.16	  32.53	  67.85	  -0.77	   0.75	--------	-1	0.00	*
_10:657112	  359.0	  106.4	    3.4	   95.4	  31.08	  32.44	  93.86	  -0.65	   0.31	--------	-1	0.00	*
_5:701231	  382.0	  119.7	    3.2	  100.2	  31.08	  32.43	 101.30	  -0.60	   0.00	--------	-1	0.00	*
_2:889376	  309.0	   79.8	    3.9	  143.0	  31.08	  32.43	  32.95	  -0.64	   0.00	--------	-1	0.00	*
_14:7875	  326.0	   88.7	    3.7	  112.0	  31.08	  32.43	  59.96	  -0.60	   0.00	--------	-1	0.00	*
_19:620084	  390.0	  124.2	    3.1	  124.6	  30.96	  32.30	  79.67	  -0.62	   0.40	--------	-1	0.00	*
_12:193839	  374.0	  115.3	    3.2	   90.9	  30.92	  32.25	 108.50	  -0.83	   0.30	--------	-1	0.00	*
_5:214815	  327.4	   90.2	    3.6	  114.8	  30.76	  32.09	  58.58	  -0.83	   0.00	--------	-1	0.00	*
_9:753229	  216.0	   35.5	    6.1	   84.7	  30.72	  32.04	  32.36	  -0.80	   0.00	--------	-1	0.00	*
_17:230880	  364.0	  110.9	    3.3	  107.1	  30.72	  32.04	  83.55	  -0.67	   0.55	--------	-1	0.00	*
_4:334287	  263.0	   57.7	    4.6	   94.8	  30.59	  31.90	  45.08	  -0.95	   0.00	--------	-1	0.00	*
_13:225140	  315.0	   84.3	    3.7	   96.7	  30.43	  31.73	  68.45	  -0.68	   0.00	--------	-1	0.00	*
_8:326827	  289.5	   71.6	    4.0	   91.7	  30.40	  31.70	  60.49	  -1.10	   0.00	--------	-1	0.00	*
_1:2385648	  313.0	   84.3	    3.7	  117.1	  30.05	  31.34	  50.20	  -0.85	   0.09	--------	-1	0.00	*
_1:1865310	  286.0	   71.0	    4.0	   92.5	  29.99	  31.28	  57.81	  -0.71	   0.45	--------	-1	0.00	*
_32:70866	  342.0	   93.1	    3.7	  168.9	  29.99	  33.74	  31.27	  -0.79	   0.60	--------	-1	0.00	*
_3:513040	  278.0	   66.5	    4.2	  109.0	  29.97	  31.25	  41.27	  -0.88	   0.55	--------	-1	0.00	*
_24:258171	  241.0	   48.8	    4.9	  100.3	  29.92	  31.20	  32.24	  -0.80	   0.00	--------	-1	0.00	*
_3:452291	  302.0	   79.8	    3.8	  100.6	  29.76	  31.02	  58.33	  -1.26	   0.00	--------	-1	0.00	*
_12:96766	  276.0	   66.5	    4.1	   94.0	  29.57	  30.83	  51.71	  -0.99	   0.00	--------	-1	0.00	*
_32:95976	  268.0	   62.1	    4.3	   80.7	  29.56	  30.81	  59.96	  -0.84	   0.00	--------	-1	0.00	*
_15:320518	  300.0	   79.8	    3.8	   97.5	  29.37	  30.62	  60.13	  -0.85	   0.12	--------	-1	0.00	*
_2:36592	  266.0	   62.1	    4.3	   92.2	  29.15	  30.40	  48.55	  -0.57	   0.00	--------	-1	0.00	*
_14:665516	  294.3	   77.2	    3.8	   91.9	  29.14	  30.38	  62.87	  -1.07	   0.00	--------	-1	0.00	*
_15:71779	  408.0	  141.9	    2.9	  106.9	  29.13	  30.37	 108.27	  -0.73	   0.49	--------	-1	0.00	*
_3:293649	  235.0	   39.9	    5.9	   99.7	  29.09	  34.34	  30.32	  -0.87	   0.00	--------	-1	0.00	*
_6:858477	  347.0	  106.4	    3.3	  146.2	  28.97	  30.20	  44.72	  -0.79	   0.63	--------	-1	0.00	*
_5:346346	  378.0	  124.2	    3.0	   93.8	  28.92	  30.15	 107.10	  -0.68	   0.00	--------	-1	0.00	*
_3:237984	  254.0	   57.7	    4.4	   93.4	  28.76	  29.98	  42.18	  -0.77	   0.00	--------	-1	0.00	*
_27:67225	  306.0	   84.3	    3.6	  117.9	  28.75	  29.96	  46.67	  -0.83	   0.00	--------	-1	0.00	*
_4:105425	  283.0	   66.5	    4.3	  131.7	  28.74	  32.29	  29.95	  -0.69	   0.24	--------	-1	0.00	*
_5:838713	  234.3	   48.8	    4.8	   93.8	  28.67	  29.87	  34.02	  -1.04	   0.00	--------	-1	0.00	*
_30:140544	  413.0	  146.4	    2.8	  145.7	  28.60	  29.80	  72.48	  -0.74	   0.66	--------	-1	0.00	*
_10:369889	  263.0	   62.1	    4.2	  100.6	  28.57	  29.77	  40.85	  -1.11	   0.00	--------	-1	0.00	*
_11:672255	  263.0	   62.1	    4.2	  105.7	  28.58	  29.77	  37.44	  -0.62	   0.00	--------	-1	0.00	*
_5:702125	  253.0	   57.7	    4.4	  101.9	  28.58	  29.77	  35.88	  -0.77	   0.00	--------	-1	0.00	*
_20:442796	  328.0	   97.6	    3.4	   97.7	  28.46	  29.64	  74.19	  -0.82	   0.30	--------	-1	0.00	*
_24:177359	  270.0	   66.5	    4.1	  123.8	  28.39	  29.59	  29.57	  -1.04	   0.00	--------	-1	0.00	*
_15:425266	  252.0	   57.7	    4.4	  103.4	  28.38	  29.55	  34.57	  -0.94	   0.00	--------	-1	0.00	*
_22:542017	  287.0	   75.4	    3.8	  119.3	  28.37	  29.54	  38.23	  -1.03	   0.00	--------	-1	0.00	*
_4:263718	  287.0	   75.4	    3.8	  110.4	  28.37	  29.54	  44.00	  -0.76	   0.00	--------	-1	0.00	*
_30:153774	  381.0	  128.6	    3.0	  194.8	  28.31	  29.48	  31.83	  -0.75	   0.08	--------	-1	0.00	*
_7:399754	  350.0	  110.9	    3.2	  108.5	  28.30	  29.46	  74.82	  -0.70	   0.00	--------	-1	0.00	*
_2:141542	  277.0	   71.0	    3.9	   91.7	  28.29	  29.44	  54.15	  -0.94	   0.00	--------	-1	0.00	*
_1:1090477	  310.0	   88.7	    3.5	   92.5	  28.16	  29.31	  70.02	  -0.93	   0.00	--------	-1	0.00	*
_10:269531	  325.0	   97.6	    3.3	  116.8	  27.93	  29.08	  55.71	  -0.60	   0.35	--------	-1	0.00	*
_3:1381468	  275.0	   71.0	    3.9	   93.4	  27.89	  29.04	  51.69	  -0.76	   0.00	--------	-1	0.00	*
_12:550002	  301.0	   84.3	    3.6	   90.9	  27.85	  28.99	  66.92	  -0.77	   0.00	--------	-1	0.00	*
_1:1034253	  276.0	   71.0	    3.9	  129.1	  27.76	  29.24	  28.89	  -0.60	   0.59	--------	-1	0.00	*
_1:1362999	  300.0	   84.3	    3.6	   92.5	  27.67	  28.80	  64.83	  -0.66	   0.00	--------	-1	0.00	*
_17:113416	  278.2	   73.7	    3.8	   93.5	  27.57	  28.70	  53.53	  -0.88	   0.00	--------	-1	0.00	*
_26:175935	  265.0	   57.7	    4.6	  122.3	  27.53	  32.33	  28.65	  -1.00	   0.31	--------	-1	0.00	*
_26:244582	  273.0	   71.0	    3.8	  123.2	  27.51	  28.64	  30.88	  -0.70	   0.00	--------	-1	0.00	*
_13:760316	  354.0	  115.3	    3.1	  115.4	  27.50	  28.62	  70.41	  -0.69	   0.44	--------	-1	0.00	*
_8:832753	  315.0	   93.1	    3.4	   99.3	  27.43	  28.55	  65.90	  -0.82	   0.57	--------	-1	0.00	*
_28:288238	  384.0	  133.1	    2.9	   92.0	  27.43	  28.54	 113.21	  -0.67	   0.00	--------	-1	0.00	*
_30:177157	  420.0	  155.2	    2.7	  145.9	  27.40	  28.51	  75.53	  -0.80	   0.00	--------	-1	0.00	*
_17:355846	  314.0	   93.1	    3.4	   93.5	  27.25	  28.36	  71.09	  -0.84	   0.14	--------	-1	0.00	*
_9:69076	  314.0	   93.1	    3.4	   84.7	  27.26	  28.36	  80.73	  -0.70	   0.33	--------	-1	0.00	*
_18:212617	  256.0	   62.1	    4.1	  111.1	  27.22	  28.32	  31.51	  -0.79	   0.16	--------	-1	0.00	*
_8:400422	  255.8	   62.1	    4.1	  102.4	  27.22	  28.32	  36.77	  -0.67	   0.00	--------	-1	0.00	*
_8:412188	  271.0	   71.0	    3.8	   91.7	  27.14	  28.23	  51.25	  -0.60	   0.00	--------	-1	0.00	*
_3:81015	  285.3	   78.1	    3.7	   93.4	  27.14	  28.23	  56.95	  -0.86	   0.00	--------	-1	0.00	*
_24:256430	  358.0	  119.7	    3.0	   93.8	  27.03	  28.12	  95.20	  -0.69	   0.51	--------	-1	0.00	*
_16:383905	  237.0	   53.2	    4.5	   98.6	  27.00	  28.08	  31.77	  -0.66	   0.00	--------	-1	0.00	*
_23:285237	  237.0	   53.2	    4.5	  100.0	  27.00	  28.08	  30.91	  -0.80	   0.00	--------	-1	0.00	*
_17:127890	  287.0	   79.8	    3.6	   99.7	  26.99	  28.06	  52.10	  -0.74	   0.36	--------	-1	0.00	*
_8:934601	  402.0	  146.4	    2.7	   91.7	  26.88	  27.95	 124.91	  -0.66	   0.58	--------	-1	0.00	*
_27:202669	  279.0	   75.4	    3.7	   93.9	  26.88	  27.95	  53.21	  -0.63	   0.41	--------	-1	0.00	*
_10:676873	  357.0	  119.7	    3.0	  115.8	  26.88	  27.94	  71.44	  -0.65	   0.60	--------	-1	0.00	*
_8:886153	  278.0	   75.4	    3.7	  112.2	  26.69	  27.75	  39.18	  -0.89	   0.00	--------	-1	0.00	*
_30:224265	  392.0	  141.9	    2.8	  145.3	  26.59	  27.65	  63.52	  -0.75	   0.00	--------	-1	0.00	*
_20:416662	  268.0	   71.0	    3.8	   97.7	  26.58	  27.63	  45.13	  -0.83	   0.38	--------	-1	0.00	*
_5:311566	  268.0	   71.0	    3.8	  105.3	  26.58	  27.63	  39.68	  -0.64	   0.00	--------	-1	0.00	*
_4:1074277	  406.0	  150.8	    2.7	  132.3	  26.49	  27.54	  80.54	  -0.98	   0.00	--------	-1	0.00	*
_5:944289	  406.0	  150.8	    2.7	  128.0	  26.49	  27.54	  84.50	  -0.69	   0.76	--------	-1	0.00	*
_2:902209	  252.0	   62.1	    4.1	   91.7	  26.45	  27.50	  42.63	  -0.78	   0.36	--------	-1	0.00	*
_6:401180	  325.0	  102.0	    3.2	  101.2	  26.41	  27.45	  69.17	  -0.93	   0.11	--------	-1	0.00	*
_5:610716	  309.0	   93.1	    3.3	   94.3	  26.38	  27.42	  67.71	  -0.68	   0.58	--------	-1	0.00	*
_1:1272592	  347.0	  115.3	    3.0	   92.5	  26.34	  27.38	  90.40	  -0.69	   0.00	--------	-1	0.00	*
_2:36026	  276.0	   75.4	    3.7	   94.4	  26.33	  27.36	  51.37	  -0.58	   0.00	--------	-1	0.00	*
_3:192520	  276.0	   75.4	    3.7	  105.5	  26.33	  27.36	  42.81	  -0.71	   0.22	--------	-1	0.00	*
_13:676339	  282.0	   79.8	    3.5	  103.1	  26.07	  27.09	  47.13	  -0.94	   0.00	--------	-1	0.00	*
_27:132580	  291.0	   84.3	    3.5	   93.9	  26.05	  27.07	  59.01	  -0.77	   0.32	--------	-1	0.00	*
_8:937134	  291.0	   84.3	    3.5	   93.3	  26.05	  27.07	  59.50	  -0.76	   0.42	--------	-1	0.00	*
_1:1077616	  367.0	  128.6	    2.9	  130.5	  26.04	  27.05	  63.81	  -0.86	   0.44	--------	-1	0.00	*
_14:137904	  314.0	   97.6	    3.2	  144.4	  26.02	  27.04	  33.90	  -0.98	   0.66	--------	-1	0.00	*
_5:275174	  240.0	   57.7	    4.2	   96.9	  26.03	  27.04	  34.00	  -0.68	   0.00	--------	-1	0.00	*
_19:421903	  265.0	   71.0	    3.7	  116.7	  26.03	  27.04	  31.59	  -0.85	   0.41	--------	-1	0.00	*
_23:112224	  298.0	   88.7	    3.4	  128.6	  26.03	  27.03	  36.81	  -0.67	   0.64	--------	-1	0.00	*
_21:362216	  395.3	  147.0	    2.7	  192.6	  25.96	  26.96	  37.32	  -0.64	   0.00	--------	-1	0.00	*
_15:75733	  235.0	   53.2	    4.4	  105.8	  25.93	  27.66	  26.93	  -0.84	   0.00	--------	-1	0.00	*
_9:355393	  322.0	  102.0	    3.2	   84.7	  25.91	  26.90	  85.33	  -0.90	   0.05	--------	-1	0.00	*
_1:1650185	  281.0	   79.8	    3.5	   92.5	  25.90	  26.90	  55.37	  -0.80	   0.00	--------	-1	0.00	*
_1:1933278	  281.0	   79.8	    3.5	   96.2	  25.91	  26.90	  52.19	  -0.58	   0.00	--------	-1	0.00	*
_17:101346	  248.7	   62.8	    4.0	   93.5	  25.89	  26.88	  39.99	  -1.05	   0.00	--------	-1	0.00	*
_1:2436879	  306.0	   57.7	    5.3	  154.0	  25.88	  41.40	  26.86	  -0.86	   0.00	--------	-1	0.00	*
_24:181023	  321.0	  102.0	    3.1	   96.6	  25.74	  26.72	  71.59	  -0.65	   0.00	--------	-1	0.00	*
_3:945850	  289.0	   84.3	    3.4	   94.6	  25.71	  26.69	  57.38	  -0.72	   0.00	--------	-1	0.00	*
_2:272453	  334.0	  110.9	    3.0	  118.1	  25.61	  26.59	  58.70	  -0.72	   0.21	--------	-1	0.00	*
_8:946999	  272.0	   75.4	    3.6	  102.9	  25.60	  26.58	  43.00	  -0.74	   0.00	--------	-1	0.00	*
_19:282935	  255.0	   66.5	    3.8	  116.7	  25.57	  26.55	  28.10	  -0.73	   0.00	--------	-1	0.00	*
_23:44115	  342.0	  115.3	    3.0	  107.4	  25.53	  26.50	  71.77	  -0.52	   0.57	--------	-1	0.00	*
_23:463774	  342.0	  115.3	    3.0	  110.3	  25.53	  26.50	  69.16	  -0.67	   0.00	--------	-1	0.00	*
_17:287271	  247.0	   62.1	    4.0	  101.0	  25.51	  26.48	  34.10	  -0.61	   0.00	--------	-1	0.00	*
_19:253506	  262.0	   71.0	    3.7	  116.7	  25.48	  26.44	  30.53	  -0.85	   0.40	--------	-1	0.00	*
_18:149756	  333.0	  110.9	    3.0	  111.6	  25.45	  26.41	  63.59	  -0.94	   0.22	--------	-1	0.00	*
_1:2127373	  434.0	  173.0	    2.5	  117.0	  25.45	  26.41	 111.17	  -0.67	   0.26	--------	-1	0.00	*
_8:857531	  271.0	   75.4	    3.6	  116.6	  25.43	  26.38	  33.79	  -0.58	   0.00	--------	-1	0.00	*
_2:1303071	  319.0	  102.0	    3.1	   91.7	  25.41	  26.36	  75.67	  -1.09	   0.05	--------	-1	0.00	*
_17:186727	  254.0	   66.5	    3.8	   93.5	  25.40	  26.35	  42.14	  -0.80	   0.00	--------	-1	0.00	*
_2:1164756	  374.9	  136.7	    2.7	   91.7	  25.23	  26.18	 108.05	  -0.68	   0.00	--------	-1	0.00	*
_13:774642	  286.0	   84.3	    3.4	  132.5	  25.18	  26.12	  30.52	  -0.76	   0.00	--------	-1	0.00	*
_16:219393	  286.0	   84.3	    3.4	   96.2	  25.18	  26.12	  54.54	  -0.63	   0.00	--------	-1	0.00	*
_20:646935	  446.0	  181.8	    2.5	   99.9	  25.15	  26.09	 141.26	  -0.68	   0.24	--------	-1	0.00	*
_2:268250	  331.0	  110.9	    3.0	  100.4	  25.12	  26.06	  72.96	  -0.98	   0.00	--------	-1	0.00	*
_22:308385	  260.0	   71.0	    3.7	  113.1	  25.11	  26.05	  31.79	  -0.86	   0.00	--------	-1	0.00	*
_10:254369	  304.8	   95.3	    3.2	  105.4	  25.10	  26.03	  55.67	  -0.75	   0.00	--------	-1	0.00	*
_13:596373	  238.3	   59.4	    4.0	   96.7	  25.09	  26.02	  33.74	  -1.16	   0.00	--------	-1	0.00	*
_3:1238254	  285.0	   84.3	    3.4	  104.8	  25.00	  25.93	  47.18	  -0.99	   0.27	--------	-1	0.00	*
_12:78123	  226.0	   53.2	    4.2	   90.9	  24.84	  25.76	  32.30	  -0.72	   0.00	--------	-1	0.00	*
_5:599282	  307.0	   97.6	    3.1	   93.8	  24.83	  25.76	  67.17	  -0.88	   0.00	--------	-1	0.00	*
_25:230738	  300.0	   93.1	    3.2	  109.4	  24.83	  25.76	  50.27	  -0.67	   0.61	--------	-1	0.00	*
_27:280937	  275.0	   79.8	    3.4	   93.9	  24.83	  25.75	  51.33	  -0.93	   0.06	--------	-1	0.00	*
_18:456686	  284.0	   84.3	    3.4	   95.6	  24.83	  25.75	  54.06	  -0.80	   0.00	--------	-1	0.00	*
_8:744759	  291.0	   88.7	    3.3	   91.7	  24.81	  25.72	  60.99	  -1.10	   0.00	--------	-1	0.00	*
_2:1067518	  344.0	  119.7	    2.9	   91.7	  24.77	  25.68	  89.64	  -0.70	   0.27	--------	-1	0.00	*
_5:755118	  277.2	   81.4	    3.4	  133.8	  24.72	  25.63	  27.27	  -1.23	   0.00	--------	-1	0.00	*
_1:2167220	  283.0	   84.3	    3.4	  124.5	  24.65	  25.56	  33.73	  -0.64	   0.51	--------	-1	0.00	*
_31:54458	  456.0	  190.7	    2.4	  151.5	  24.60	  25.51	  87.73	  -0.74	   0.36	--------	-1	0.00	*
_19:277732	  366.0	  133.1	    2.8	  137.9	  24.59	  25.50	  57.77	  -0.79	   0.00	--------	-1	0.00	*
_6:851042	  236.0	   53.2	    4.4	  109.3	  24.55	  27.87	  25.46	  -0.66	   0.00	--------	-1	0.00	*
_6:388842	  266.0	   75.4	    3.5	  105.4	  24.52	  25.42	  38.84	  -0.65	   0.23	--------	-1	0.00	*
_6:838356	  298.0	   93.1	    3.2	  101.2	  24.49	  25.39	  55.96	  -0.75	   0.18	--------	-1	0.00	*
_1:1464824	  224.0	   53.2	    4.2	   92.5	  24.45	  25.35	  30.51	  -1.06	   0.00	--------	-1	0.00	*
_16:206279	  224.0	   53.2	    4.2	   94.7	  24.45	  25.35	  29.17	  -0.87	   0.00	--------	-1	0.00	*
_2:83493	  219.3	   51.7	    4.2	   91.7	  24.45	  25.34	  29.47	  -0.84	   0.00	--------	-1	0.00	*
_11:280246	  392.0	  150.8	    2.6	  130.7	  24.38	  25.27	  75.20	  -0.69	   0.18	--------	-1	0.00	*
_1:263551	  265.0	   75.4	    3.5	  100.0	  24.34	  25.22	  42.09	  -0.87	   0.00	--------	-1	0.00	*
_26:144597	  297.0	   93.1	    3.2	  100.5	  24.32	  25.21	  56.05	  -0.84	   0.00	--------	-1	0.00	*
_20:658930	  326.0	  110.9	    2.9	  105.5	  24.30	  25.18	  65.66	  -0.90	   0.06	--------	-1	0.00	*
_7:307645	  272.0	   79.8	    3.4	   83.0	  24.29	  25.18	  59.77	  -0.77	   0.00	--------	-1	0.00	*
_15:542555	  226.0	   53.2	    4.2	  103.2	  24.29	  25.76	  25.17	  -0.74	   0.24	--------	-1	0.00	*
_28:78676	  223.0	   53.2	    4.2	   79.2	  24.26	  25.14	  39.37	  -0.55	   0.00	--------	-1	0.00	*
_31:73457	  321.0	   93.1	    3.4	  168.9	  24.23	  29.68	  25.11	  -0.87	   0.45	--------	-1	0.00	*
_12:40389	  209.0	   39.9	    5.2	   92.3	  24.21	  28.37	  25.08	  -0.76	   0.00	--------	-1	0.00	*
_25:403705	  384.0	  146.4	    2.6	  118.2	  24.14	  25.01	  82.71	  -0.77	   0.64	--------	-1	0.00	*
_11:356974	  325.0	  110.9	    2.9	  104.8	  24.14	  25.00	  65.75	  -0.79	   0.50	--------	-1	0.00	*
_1:1586352	  209.0	   39.9	    5.2	   92.5	  24.09	  28.37	  24.96	  -0.89	   0.00	--------	-1	0.00	*
