Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
_8:718910	  135.0	   31.0	    4.3	  113.3	   1.56	  15.83	   1.59	  -1.15	   0.00	--------	-1	0.00	*
_2:910513	  166.0	   66.5	    2.5	  141.9	   1.55	  10.45	   1.59	  -0.98	   0.00	--------	-1	0.00	*
_14:790772	  151.0	   57.7	    2.6	  128.2	   1.54	  10.31	   1.57	  -0.98	   0.30	--------	-1	0.00	*
_1:2011349	  160.0	   66.5	    2.4	  136.5	   1.54	   9.53	   1.57	  -0.87	   0.25	--------	-1	0.00	*
_22:563433	  150.0	   75.4	    2.0	  127.4	   1.53	   6.31	   1.56	  -0.72	   0.00	--------	-1	0.00	*
_9:905150	  129.0	   39.9	    3.2	  108.2	   1.52	  11.70	   1.55	  -0.87	   0.00	--------	-1	0.00	*
_20:545567	  138.0	   62.1	    2.2	  116.5	   1.52	   7.19	   1.55	  -0.59	   0.00	--------	-1	0.00	*
_25:78864	  191.0	   57.7	    3.3	  165.5	   1.52	  17.33	   1.55	  -0.91	   0.00	--------	-1	0.00	*
_18:359894	  156.0	   48.8	    3.2	  133.6	   1.47	  13.77	   1.50	  -0.92	   0.00	--------	-1	0.00	*
_3:682688	  185.4	   27.1	    6.8	  161.5	   1.47	  29.39	   1.50	  -1.07	   0.00	--------	-1	0.00	*
_6:98886	  167.9	   79.0	    2.1	  144.9	   1.46	   7.92	   1.49	  -1.49	   0.00	--------	-1	0.00	*
_9:504042	  122.9	   85.9	    1.4	  103.4	   1.45	   2.20	   1.48	  -1.07	   0.00	--------	-1	0.00	*
_1:590957	  118.0	   67.4	    1.7	   98.9	   1.45	   3.82	   1.48	  -1.10	   0.00	--------	-1	0.00	*
_10:669213	  127.2	   57.5	    2.2	  108.3	   1.43	   6.81	   1.45	  -1.02	   0.00	--------	-1	0.00	*
_1:1919900	  146.0	   88.7	    1.6	  125.1	   1.41	   3.92	   1.44	  -0.93	   0.00	--------	-1	0.00	*
_25:410537	  131.0	   39.9	    3.3	  111.3	   1.40	  12.07	   1.43	  -0.79	   0.00	--------	-1	0.00	*
_4:316698	  138.3	   65.2	    2.1	  118.9	   1.39	   6.73	   1.41	  -0.83	   0.00	--------	-1	0.00	*
_30:198011	  167.0	   71.0	    2.4	  145.3	   1.35	   9.67	   1.38	  -1.14	   0.00	--------	-1	0.00	*
_8:73860	  126.0	   48.8	    2.6	  107.3	   1.34	   8.58	   1.37	  -0.80	   0.00	--------	-1	0.00	*
_11:636831	  129.0	   39.9	    3.2	  110.4	   1.32	  11.70	   1.34	  -0.69	   0.00	--------	-1	0.00	*
_1:1536238	  179.0	   71.0	    2.5	  157.1	   1.31	  11.51	   1.34	  -0.71	   0.00	--------	-1	0.00	*
_23:260965	  137.1	   88.9	    1.5	  118.8	   1.31	   3.16	   1.34	  -1.07	   0.00	--------	-1	0.00	*
_9:503201	  124.0	   93.1	    1.3	  106.0	   1.30	   1.61	   1.33	  -0.95	   0.00	--------	-1	0.00	*
_6:741101	  117.6	   62.1	    1.9	  101.2	   1.23	   4.58	   1.26	  -1.11	   0.00	--------	-1	0.00	*
_14:677940	  141.0	   48.8	    2.9	  123.0	   1.19	  11.09	   1.22	  -0.81	   0.00	--------	-1	0.00	*
_16:319783	  122.0	   97.6	    1.3	   94.7	   1.19	   1.22	   2.40	  -1.25	   0.00	--------	-1	0.00	*
_19:451567	  153.0	  110.9	    1.4	  134.4	   1.19	   2.24	   1.21	  -0.75	   0.00	--------	-1	0.00	*
_24:145467	  124.6	   78.6	    1.6	  108.3	   1.18	   3.11	   1.20	  -0.77	   0.00	--------	-1	0.00	*
_11:174626	  165.0	   48.8	    3.4	  145.8	   1.17	  15.45	   1.20	  -0.77	   0.00	--------	-1	0.00	*
_7:87700	  175.0	   62.1	    2.8	  155.4	   1.17	  12.95	   1.19	  -0.96	   0.00	--------	-1	0.00	*
_10:222659	  176.0	   57.7	    3.1	  156.8	   1.14	  14.58	   1.16	  -0.89	   0.04	--------	-1	0.00	*
_5:964289	  145.0	  119.7	    1.2	   93.8	   1.13	   1.15	   6.24	  -0.69	   0.00	--------	-1	0.00	*
_11:112615	  173.0	   62.1	    2.8	  154.0	   1.13	  12.62	   1.15	  -1.03	   0.00	--------	-1	0.00	*
_19:206863	  133.0	   35.5	    3.7	  116.7	   1.11	  13.85	   1.13	  -0.80	   0.00	--------	-1	0.00	*
_1:1973688	  125.0	   39.9	    3.1	  109.3	   1.10	  10.96	   1.12	  -0.73	   0.00	--------	-1	0.00	*
_1:1969819	  144.0	  119.7	    1.2	   92.5	   1.08	   1.11	   6.36	  -0.64	   0.00	--------	-1	0.00	*
_8:667746	  149.0	   71.0	    2.1	  132.1	   1.08	   7.11	   1.10	  -0.75	   0.00	--------	-1	0.00	*
_21:435946	  168.6	   59.3	    2.8	  151.0	   1.08	  12.77	   1.10	  -1.19	   0.00	--------	-1	0.00	*
_25:243370	  118.0	   57.7	    2.0	  103.4	   1.05	   5.45	   1.07	  -1.11	   0.00	--------	-1	0.00	*
_14:227989	  132.0	   44.4	    3.0	  116.6	   1.04	  10.69	   1.07	  -0.74	   0.00	--------	-1	0.00	*
_5:507723	  140.0	   79.8	    1.8	  124.4	   1.03	   4.50	   1.05	  -1.07	   0.00	--------	-1	0.00	*
_5:186202	  171.0	   97.6	    1.8	  154.0	   1.01	   5.30	   1.03	  -0.82	   0.00	--------	-1	0.00	*
_3:1349070	  128.0	   39.9	    3.2	  113.4	   1.01	  11.51	   1.03	  -0.69	   0.00	--------	-1	0.00	*
_10:252356	  159.0	   62.1	    2.6	  143.0	   0.99	  10.33	   1.01	  -0.66	   0.00	--------	-1	0.00	*
_13:89837	  141.0	   44.4	    3.2	  126.0	   0.98	  12.30	   1.00	  -1.55	   0.00	--------	-1	0.00	*
_8:486880	  121.0	   48.8	    2.5	  107.5	   0.95	   7.79	   0.97	  -1.04	   0.00	--------	-1	0.00	*
_7:641784	  132.3	  112.7	    1.2	  104.7	   0.93	   0.95	   2.37	  -1.17	   0.00	--------	-1	0.00	*
_21:295299	  146.2	   61.1	    2.4	  132.6	   0.92	   8.72	   0.94	  -1.27	   0.00	--------	-1	0.00	*
_16:364730	  179.0	   35.5	    5.0	  163.2	   0.92	  23.58	   0.94	  -0.73	   0.00	--------	-1	0.00	*
_23:260638	  145.9	   53.1	    2.7	  133.4	   0.81	  10.55	   0.83	  -0.94	   0.00	--------	-1	0.00	*
_15:363802	  121.0	   66.5	    1.8	  109.6	   0.81	   4.30	   0.83	  -0.98	   0.00	--------	-1	0.00	*
_2:722053	  119.8	   76.7	    1.6	  108.7	   0.80	   2.87	   0.82	  -1.42	   0.00	--------	-1	0.00	*
_21:589654	  280.0	   93.1	    3.0	  263.2	   0.79	  22.16	   0.80	  -0.73	   0.00	--------	-1	0.00	*
_15:578443	  121.0	   53.2	    2.3	  110.3	   0.77	   6.65	   0.78	  -0.89	   0.00	--------	-1	0.00	*
_11:490711	  199.1	   64.2	    3.1	  186.4	   0.75	  16.74	   0.77	  -1.05	   0.00	--------	-1	0.00	*
_21:354084	  179.9	   73.7	    2.4	  167.2	   0.75	  10.94	   0.77	  -1.34	   0.00	--------	-1	0.00	*
_2:1097361	  130.1	   69.3	    1.9	  121.3	   0.68	   5.00	   0.70	  -0.84	   0.00	--------	-1	0.00	*
_7:482060	  127.4	  114.0	    1.1	  114.9	   0.68	   0.70	   0.92	  -1.24	   0.00	--------	-1	0.00	*
_28:61271	  131.2	   69.6	    1.9	  122.3	   0.68	   5.12	   0.70	  -0.89	   0.00	--------	-1	0.00	*
_19:267897	  126.0	   66.5	    1.9	  116.7	   0.67	   4.89	   0.69	  -1.21	   0.00	--------	-1	0.00	*
_9:706128	  135.0	   53.2	    2.5	  125.4	   0.67	   8.77	   0.68	  -0.65	   0.00	--------	-1	0.00	*
_5:481495	  127.3	   59.7	    2.1	  118.8	   0.66	   6.40	   0.68	  -1.12	   0.00	--------	-1	0.00	*
_13:542114	  125.1	   35.5	    3.5	  117.4	   0.63	  12.48	   0.65	  -0.85	   0.00	--------	-1	0.00	*
_12:628424	  172.1	  159.3	    1.1	  119.2	   0.58	   0.59	   5.64	  -0.83	   0.00	--------	-1	0.00	*
_5:729224	  180.0	   62.1	    2.9	  171.5	   0.56	  13.81	   0.57	  -0.96	   0.00	--------	-1	0.00	*
_1:609645	  122.0	   44.4	    2.8	  115.3	   0.54	   8.97	   0.56	  -0.84	   0.00	--------	-1	0.00	*
_19:149501	  154.0	   31.0	    5.0	  146.5	   0.54	  19.92	   0.56	  -1.02	   0.00	--------	-1	0.00	*
_16:637790	  145.0	   57.7	    2.5	  137.9	   0.53	   9.36	   0.55	  -0.65	   0.00	--------	-1	0.00	*
_11:131171	  138.3	  109.7	    1.3	  132.2	   0.53	   1.42	   0.54	  -0.80	   0.00	--------	-1	0.00	*
_21:656305	  144.0	  133.1	    1.1	  132.6	   0.52	   0.53	   0.77	  -0.98	   0.00	--------	-1	0.00	*
_14:172170	  125.0	   44.4	    2.8	  119.4	   0.49	   9.48	   0.50	  -0.86	   0.00	--------	-1	0.00	*
_21:425532	  140.0	   44.4	    3.2	  134.7	   0.46	  12.12	   0.47	  -1.21	   0.00	--------	-1	0.00	*
_3:1343455	  140.0	   53.2	    2.6	  135.0	   0.45	   9.56	   0.46	  -0.88	   0.00	--------	-1	0.00	*
_9:534391	  121.0	   75.4	    1.6	  116.6	   0.44	   3.08	   0.45	  -1.09	   0.00	--------	-1	0.00	*
_14:620161	  119.0	   48.8	    2.4	  115.4	   0.41	   7.48	   0.42	  -0.92	   0.00	--------	-1	0.00	*
_19:45774	  119.9	   93.3	    1.3	  116.7	   0.40	   1.36	   0.41	  -1.12	   0.00	--------	-1	0.00	*
_15:602655	  188.0	   66.5	    2.8	  185.2	   0.36	  14.04	   0.37	  -0.92	   0.00	--------	-1	0.00	*
_16:418027	  142.0	   26.6	    5.3	  139.5	   0.36	  19.62	   0.37	  -0.65	   0.00	--------	-1	0.00	*
_7:482262	  118.0	   63.2	    1.9	  115.8	   0.36	   4.42	   0.37	  -1.45	   0.00	--------	-1	0.00	*
_7:966370	  206.0	   62.1	    3.3	  203.5	   0.35	  18.47	   0.36	  -0.80	   0.00	--------	-1	0.00	*
_9:836361	  160.0	   66.5	    2.4	  157.9	   0.34	   9.53	   0.35	  -0.71	   0.00	--------	-1	0.00	*
_19:409925	  163.0	   39.9	    4.1	  161.1	   0.34	  18.39	   0.35	  -0.82	   0.10	--------	-1	0.00	*
_15:560919	  124.0	   17.7	    7.0	  122.3	   0.34	  20.23	   0.35	  -0.84	   0.00	--------	-1	0.00	*
_6:985558	  138.0	   48.8	    2.8	  136.5	   0.33	  10.57	   0.34	  -0.69	   0.00	--------	-1	0.00	*
_21:292234	  133.0	   48.8	    2.7	  132.6	   0.30	   9.73	   0.30	  -0.85	   0.00	--------	-1	0.00	*
_21:215168	  131.5	   66.3	    2.0	  132.6	   0.27	   5.62	   0.27	  -1.19	   0.00	--------	-1	0.00	*
_27:375607	  126.0	   48.8	    2.6	  127.0	   0.25	   8.58	   0.26	  -0.68	   0.00	--------	-1	0.00	*
_21:2117	  129.3	   58.3	    2.2	  132.6	   0.21	   6.89	   0.22	  -1.15	   0.00	--------	-1	0.00	*
_2:45311	  133.0	   53.2	    2.5	  136.1	   0.20	   8.45	   0.21	  -0.82	   0.00	--------	-1	0.00	*
_1:1839846	  118.2	   42.5	    2.8	  122.2	   0.20	   9.02	   0.20	  -0.97	   0.00	--------	-1	0.00	*
_18:502883	  137.0	   75.4	    1.8	  140.5	   0.19	   4.76	   0.20	  -0.64	   0.00	--------	-1	0.00	*
_5:77497	  147.0	   57.7	    2.5	  151.2	   0.18	   9.67	   0.19	  -1.08	   0.00	--------	-1	0.00	*
_16:195769	  163.9	   88.6	    1.8	  170.2	   0.15	   5.85	   0.16	  -0.97	   0.00	--------	-1	0.00	*
_32:71470	  160.6	   56.9	    2.8	  167.6	   0.14	  12.25	   0.15	  -0.99	   0.00	--------	-1	0.00	*
_11:696006	  126.9	   77.4	    1.6	  133.2	   0.14	   3.42	   0.14	  -0.91	   0.00	--------	-1	0.00	*
_1:2373596	  129.0	   75.4	    1.7	  135.8	   0.13	   3.88	   0.13	  -0.83	   0.00	--------	-1	0.00	*
_7:337171	  129.0	   48.8	    2.6	  141.4	   0.06	   9.07	   0.06	  -1.10	   0.00	--------	-1	0.00	*
_10:140710	  122.7	   95.6	    1.3	  139.3	   0.03	   1.41	   0.03	  -1.01	   0.00	--------	-1	0.00	*
_16:489198	  129.1	   70.3	    1.8	  146.9	   0.03	   4.72	   0.03	  -1.35	   0.00	--------	-1	0.00	*
_3:682991	  136.9	   83.8	    1.6	  154.8	   0.03	   3.65	   0.03	  -1.26	   0.00	--------	-1	0.00	*
_30:97325	  126.4	   59.3	    2.1	  145.3	   0.02	   6.27	   0.03	  -0.91	   0.00	--------	-1	0.00	*
_23:406276	  142.9	   86.9	    1.6	  162.6	   0.02	   3.87	   0.02	  -0.81	   0.00	--------	-1	0.00	*
_10:101008	  180.9	  102.0	    1.8	  204.5	   0.02	   5.67	   0.02	  -0.85	   0.00	--------	-1	0.00	*
_10:87586	  152.5	   66.5	    2.3	  177.7	   0.01	   8.49	   0.01	  -0.94	   0.00	--------	-1	0.00	*
_1:215824	  155.8	   62.2	    2.5	  181.6	   0.01	   9.86	   0.01	  -0.90	   0.00	--------	-1	0.00	*
_24:155136	  184.0	   55.4	    3.3	  214.1	   0.01	  16.87	   0.01	  -1.04	   0.00	--------	-1	0.00	*
_4:87330	  143.0	   44.4	    3.2	  170.0	   0.00	  12.67	   0.01	  -1.28	   0.00	--------	-1	0.00	*
_9:544500	  129.0	   26.6	    4.8	  158.0	   0.00	  16.72	   0.00	  -0.99	   0.00	--------	-1	0.00	*
_23:114288	  124.2	   53.9	    2.3	  155.9	  -0.00	   7.24	   0.00	  -1.04	   0.00	--------	-1	0.00	*
_21:511983	  126.1	   48.1	    2.6	  159.2	  -0.00	   8.74	   0.00	  -0.85	   0.00	--------	-1	0.00	*
_6:992201	  139.0	   44.4	    3.1	  175.4	  -0.00	  11.94	   0.00	  -1.09	   0.00	--------	-1	0.00	*
_25:144118	  170.0	   62.1	    2.7	  210.1	  -0.00	  12.12	   0.00	  -0.59	   0.00	--------	-1	0.00	*
_24:154598	  147.0	   59.9	    2.5	  196.3	  -0.00	   9.19	   0.00	  -0.61	   0.00	--------	-1	0.00	*
_11:491006	  136.0	   60.0	    2.3	  188.3	  -0.00	   7.54	   0.00	  -0.97	   0.00	--------	-1	0.00	*
_10:100493	  126.1	   39.9	    3.2	  185.6	  -0.00	  11.33	   0.00	  -0.70	   0.00	--------	-1	0.00	*
_21:362596	  122.7	   88.1	    1.4	  189.9	  -0.00	   1.94	   0.00	  -0.90	   0.00	--------	-1	0.00	*
_10:88053	  119.5	   35.5	    3.4	  187.7	   0.00	  11.33	   0.00	  -0.74	   0.00	--------	-1	0.00	*
